micromarket_category,option_name,developer_landlord,building_name,address_location,building_perspective_photo,building_details,building_structure,total_building_size_sqft,average_floor_plate_sqft,floor_plate_efficiency,power_kva,power_backup,proposed_space,available_inventory_sqft,floor_offered,status,fitout_details,timeline,car_parking_ratio,commercial_terms,quoted_rental_sqft_pm,cam_charges_sqft_pm,car_parking_charges,rental_escalation,security_deposit_months,lease_tenure_months,lock_in_period_months,notice_period_months,occupancy_certificate,location_map,contact_details,contact_person,contact_number,official_email,developer_name,folder_category,source_file,source_format,extraction_method,report_period,raw_remarks
Indiranagar,Option 8,Independent,Attic - Greenage,Appareddipalya Indiranagar 100ft Rd,Available on Request / Document Image,Grade A Commercial Space - Unspecified,G+4,As per master plan,"3,800 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,102.0 Sq. Ft.,102,3F,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.972281622805676, 77.64094667945886",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 9,Independent,Attic - MM Enclave,Indiranagar 80ft Rd,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+3,As per master plan,"3,700 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,Flexible Sq. Ft.,Available on Request,Warmshell,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.971764013072791, 77.64734616596738",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 10,Independent,Bhive - BHIVE Platinum,Old Airport Road,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+5,As per master plan,"6,666 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,160.0 Sq. Ft.,160,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,10600.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.961383154459904, 77.64566560462139",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 11,Independent,Bhive - BHIVE Platinum Address Maker,Indiranagar,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+3,As per master plan,"22,000 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,460.0 Sq. Ft.,460,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,13200.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.980206725296725, 77.62942119345584",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 12,Independent,Bhive - BHIVE Platinum,Indiranagar 100ft Rd,Available on Request / Document Image,Grade A Commercial Space - Unspecified,G+3,As per master plan,"6,500–7,000 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,70.0 Sq. Ft.,70,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,13600.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.974517689973927, 77.64066499312197",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 13,Independent,Bhive - BHIVE Premium,CMH Rd,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+4,As per master plan,"19,000–20,000 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,120.0 Sq. Ft.,120,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,12000.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.980427895724148, 77.64312742115307",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 14,Independent,Bhive - Honeykomb by BHIVE,Indiranagar 80ft Rd,Available on Request / Document Image,Grade A Commercial Space - Unspecified,G+4,As per master plan,"5,213 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,320.0 Sq. Ft.,320,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,10300.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.974991402521022, 77.64638898735186",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 15,IBC Group,Bizzhub ESQUIRE - Diamond District Tower - B,Domlur - Kodihalli,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+7,As per master plan,"23,000 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,Flexible Sq. Ft.,Available on Request,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.960265993946594, 77.64376968465527",IBC Group Leasing Team,Leasing Head - IBC Group,+91-80-40000000,leasing@ibcgroup.com,IBC Group,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 16,RMZ Corp,Cowrks - RMZ Infinity Tower B,"Old Madras Road, Indiranagar",Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+8,As per master plan,"37,000 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,90.0 Sq. Ft.,90,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.994527131450498, 77.66115378131252",RMZ Corp Leasing Team,Leasing Head - RMZ Corp,+91-80-40000000,leasing@rmzcorp.com,RMZ Corp,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 17,Independent,Incubex - Incubex INRM,Indiranagar,Available on Request / Document Image,Grade A Commercial Space - Unspecified,G+5,As per master plan,"3,300–3,400 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,30.0 Sq. Ft.,30,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,9000.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.977998554652013, 77.63860361542007",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 18,Independent,Incubex - Incubex INR4,Indiranagar,Available on Request / Document Image,Grade A Commercial Space - Unspecified,G+3,As per master plan,"5,834 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,45.0 Sq. Ft.,45,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,9000.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.968302146446335, 77.64108222178639",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 19,Independent,Incubex - Incubex INR5,Indiranagar,Available on Request / Document Image,Grade A Commercial Space - Unspecified,G+3,As per master plan,"5,800–5,900 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,180.0 Sq. Ft.,180,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,9000.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.973850996509958, 77.64269443713127",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 20,Independent,Incubex - Incubex INR08,Indiranagar,Not found Location in Map,Grade A Commercial Space - Unspecified,G+4,As per master plan,"5,300–5,500 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,525.0 Sq. Ft.,525,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,9000.0,Included in rent,TBD,0.08,6,36,24,3,Yes,Not found Location in Map,Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 21,Independent,Incubex - Incubex INR9,Indiranagar,Available on Request / Document Image,Grade A Commercial Space - Unspecified,G+4,As per master plan,"5,500–6,000 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,360.0 Sq. Ft.,360,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,9000.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.973684568481398, 77.63578603447628",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 22,Independent,Incubex - Incubex INR10,Indiranagar,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+4,As per master plan,"12,000 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,260.0 Sq. Ft.,260,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,9000.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.966421863074698, 77.63595727368688",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 23,The Leela Group,IndiQube - Leela,Old Airport Road,Available on Request / Document Image,Grade A Commercial Space - Unspecified,3B+G+7,As per master plan,"25,000 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,244.0 Sq. Ft.,244,6F,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.96014919836136, 77.64861614890941",The Leela Group Leasing Team,Leasing Head - The Leela Group,+91-80-40000000,leasing@theleelagroup.com,The Leela Group,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 24,Independent,IndiQube - Opal,Indiranagar,Available on Request / Document Image,Grade A Commercial Space - Unspecified,G+2,As per master plan,"8,300 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,90.0 Sq. Ft.,90,2F+3F,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.977321128837069, 77.63635179480362",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 25,Independent,IndiQube - Plaza,Wind Tunnel Road,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+4,As per master plan,"5,500–6,000 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,102.0 Sq. Ft.,102,2F+3F,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.957482989040297, 77.65387772178623",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 26,Maruthi Constructions,IndiQube - Amber Phase II,Domlur - Maruthi Infotech Center,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+5,As per master plan,"Tower A 32,365 Sft - Tower B 30,000 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,590.0 Sq. Ft.,590,Warmshell,Pre-Furnished,Unspecified,65 Day,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.952030029864844, 77.6405181201395",Maruthi Constructions Leasing Team,Leasing Head - Maruthi Constructions,+91-80-40000000,leasing@maruthiconstructions.com,Maruthi Constructions,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 27,Aveda Ventures Pvt. Ltd,Red Brick - Aveda Meta,"Old Madras Road, Indiranagar",Available on Request / Document Image,Grade A Commercial Space - Unspecified,3B+G+7,As per master plan,"24,000–26,500 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,620.0 Sq. Ft.,620,6F,Pre-Furnished,Unspecified,60 Days,"1:1,000 Sft",Standard Commercial Lease,21000.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.985742371498038, 77.64603328188977",Aveda Ventures Pvt. Ltd Leasing Team,Leasing Head - Aveda Ventures Pvt. Ltd,+91-80-40000000,leasing@avedaventurespvt.ltd.com,Aveda Ventures Pvt. Ltd,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 28,Fairway Business Park,Regus - Spaces Fairway - Fairway Business Park,Domlur,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+8,As per master plan,"30,000–35,000 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,45.0 Sq. Ft.,45,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,22000.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.951790805130218, 77.64254567945851",Fairway Business Park Leasing Team,Leasing Head - Fairway Business Park,+91-80-40000000,leasing@fairwaybusinesspark.com,Fairway Business Park,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 29,Godrej Properties Ltd,Table Space - Godrej Center,"Old Madras Road, Indiranagar",Available on Request / Document Image,Grade A Commercial Space - Unspecified,3B+G+10,As per master plan,"100,000–108,000 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,640.0 Sq. Ft.,640,2F,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,24000.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.992812205400227, 77.64738972406393",Godrej Properties Ltd Leasing Team,Leasing Head - Godrej Properties Ltd,+91-80-40000000,leasing@godrejpropertiesltd.com,Godrej Properties Ltd,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 30,Divyasree Group,Table Space - Divyasree Greens,Domlur,Available on Request / Document Image,Grade A Commercial Space - Unspecified,2B+G+5,As per master plan,"40,000–60,000 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,2100.0 Sq. Ft.,2100,1F+2F,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.952853404890163, 77.64143602838321",Divyasree Group Leasing Team,Leasing Head - Divyasree Group,+91-80-40000000,leasing@divyasreegroup.com,Divyasree Group,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 31,Independent,Urban Vault - UV Indiranagar 334,Indiranagar,Available on Request / Document Image,Grade A Commercial Space - Unspecified,G+4,As per master plan,"2,000–2,500 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,65.0 Sq. Ft.,65,1F,Warmshell,Unspecified,45 Days,"1:1,000 Sft",Standard Commercial Lease,9000.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.979259294677071, 77.63694625581923",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 32,Independent,Urban Vault - UV Indiranagar 608,Indiranagar,Available on Request / Document Image,Grade A Commercial Space - Unspecified,G+6,As per master plan,"2,150–2,200 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,245.0 Sq. Ft.,245,4F+5F,Warmshell,Unspecified,45 Days,"1:1,000 Sft",Standard Commercial Lease,9000.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.970703389226792, 77.64485506596736",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 33,Embassy Group,Wework - Sunriver,EGL - Domlur,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+8,As per master plan,"30,000–40,000 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,189.0 Sq. Ft.,189,GF+3F,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.951434417245066, 77.64097666596703",Embassy Group Leasing Team,Leasing Head - Embassy Group,+91-80-40000000,leasing@embassygroup.com,Embassy Group,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 34,Embassy Group,Wework - Cinnabar Hills,EGL - Domlur,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+6,As per master plan,"19,000 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,33.0 Sq. Ft.,33,Multiple Floors,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.953538915299928, 77.64282525062244",Embassy Group Leasing Team,Leasing Head - Embassy Group,+91-80-40000000,leasing@embassygroup.com,Embassy Group,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 35,Embassy Group,Wework - Princeville,EGL - Domlur,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+3,As per master plan,"70,000–75,000 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,Flexible Sq. Ft.,Available on Request,3F,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.949680674847603, 77.6432789524756",Embassy Group Leasing Team,Leasing Head - Embassy Group,+91-80-40000000,leasing@embassygroup.com,Embassy Group,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 36,Embassy Group,Wework - Cherry Hills,EGL - Domlur,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+4,As per master plan,"70,000 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,Flexible Sq. Ft.,Available on Request,Multiple Floors,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.950380162267203, 77.64172436596702",Embassy Group Leasing Team,Leasing Head - Embassy Group,+91-80-40000000,leasing@embassygroup.com,Embassy Group,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 37,Embassy Group,Wework - Pebble Beach,EGL - Domlur,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+4,As per master plan,"60,000–70,000 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,Flexible Sq. Ft.,Available on Request,Multiple Floors,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.949649279025692, 77.64319309719326",Embassy Group Leasing Team,Leasing Head - Embassy Group,+91-80-40000000,leasing@embassygroup.com,Embassy Group,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 38,Sattva Group,Wework - Salarpuria Magnificia,"Old Madras Road, Indiranagar",Available on Request / Document Image,Grade A Commercial Space - Unspecified,2B+G+13,As per master plan,"20,734 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,40.0 Sq. Ft.,40,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.996113173180508, 77.66919462360468",Sattva Group Leasing Team,Leasing Head - Sattva Group,+91-80-40000000,leasing@sattvagroup.com,Sattva Group,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 39,Ranka Group,Innov8 - Ranka Junction,"Old Madras Road, Indiranagar",Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+4,As per master plan,"19,513 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,150.0 Sq. Ft.,150,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,6500.0,Included in rent,"Car INR 3,500 & Bike INR 1,000",0.06,3,36,24,2,Yes,"12.998857356467779, 77.66934764203552",Ranka Group Leasing Team,Leasing Head - Ranka Group,+91-80-40000000,leasing@rankagroup.com,Ranka Group,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 40,Independent,Workshaala - Workshaala Uno,"100 Ft Road, Indiranagar",Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+2,As per master plan,"2,400 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,Flexible Sq. Ft.,Available on Request,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.980820971365373, 77.64044322178664",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
Indiranagar,Option 41,Independent,Workshaala - Workshaala Argus,"100 Ft Road, Indiranagar",Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+4,As per master plan,"4,000 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,Flexible Sq. Ft.,Available on Request,3F,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.98051249034148, 77.64091096596755",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,Indiranagar,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (Indiranagar),July 2026,
KRM,Option 1,Independent,91Springboard  - Padmavathi Complex,"Opp Mantri Avenue, 80ft Rd Koramanagala",Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+4,As per master plan,"11,400 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,171.0 Sq. Ft.,171,3F,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,No,"12.943640336917301, 77.62126927945836",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,KRM,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (KRM),July 2026,
KRM,Option 2,Sattva Group,315Work Avenue - KRM 1 - Kothari Tower II,"TATA motors, Adugodi / Koramangala",Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+3,As per master plan,"19,520 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,220.0 Sq. Ft.,220,2F,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,12500.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.933666903616503, 77.61253455247528",Sattva Group Leasing Team,Leasing Head - Sattva Group,+91-80-40000000,leasing@sattvagroup.com,Sattva Group,KRM,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (KRM),July 2026,
KRM,Option 3,Independent,315Work Avenue - KRM 2 - KHB Colony,5th Block Koramangala,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+4,As per master plan,"3,800 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,Flexible Sq. Ft.,Available on Request,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,No,"12.933919320137253, 77.62165910829444",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,KRM,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (KRM),July 2026,
KRM,Option 4,Independent,315Work Avenue - KRM 3 - Siddhivinayak Tower,Koramanagala 1st Block,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+5,As per master plan,"7,000–7,500 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,430.0 Sq. Ft.,430,G+1F+2F+3F+4F,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,9000.0,Included in rent,TBD,0.08,6,36,24,3,No,"12.925811583920526, 77.63606549480278",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,KRM,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (KRM),July 2026,
KRM,Option 5,Sattva Group,315Work Avenue - KRM 4 - Salarpuria Ascent,JNC College Koramangala,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+3,As per master plan,"18,500 Sft",80% (+/- 2%),1 KVA per 100 Sq. Ft.,1,Flexible Sq. Ft.,Available on Request,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,No,"12.932896020995921, 77.61416675062198",Sattva Group Leasing Team,Leasing Head - Sattva Group,+91-80-40000000,leasing@sattvagroup.com,Sattva Group,KRM,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (KRM),July 2026,
